artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
Bruce Springsteen,"“We decided to make a guitar album, but then I wrote all the songs on piano,” Springsteen said of his third LP, Born to Run. “Thunder Road,” its opening track, is a cinematic tale of redemption with a title borrowed from a 1958 hillbilly noir starring Robert Mitchum as a bootlegger with a car that can’t be beat (though Springsteen had never actually seen the movie). Decades later, he would marvel that he wrote the line “You’re scared, and you’re thinking that maybe we ain’t that young anymore” when he was all of 24 years old.",288720,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",63,111,"{'compound': -0.0387, 'neg': 0.041, 'neu': 0.92, 'pos': 0.039}",Thunder Road',Bruce Springsteen,1975,False,False,rock
R.E.M.,"R.E.M. fully crossed over into the mainstream with this largely unplugged ballad, which had its origins in Peter Buck fiddling around with a mandolin while watching TV and idly practicing. “I probably wouldn’t have written the chords for ‘Losing My Religion’ the way they were had I not played it on my mandolin,” he told Rolling Stone. Yet the mandolin laced throughout the song was one of the most striking aspects of “Losing My Religion,” which was named after a Southern expression for being at the end of one’s rope. Never before had Michael Stipe sounded so vulnerable, yearning, and articulate.",268426,"['alternative rock', 'athens indie', 'classic rock', 'permanent wave', 'pop rock', 'rock']",81,112,"{'compound': -0.4115, 'neg': 0.045, 'neu': 0.938, 'pos': 0.018}",Losing My Religion',"Michael Mills, Michael Stipe, Peter Buck, William Berry",1991,False,False,rock
Stevie Wonder,"Recorded in a mere three hours and driven by a foot pedal that made his keyboard sound extra funky, “Higher Ground” had a drive and intensity that truly sounded like Wonder reaching for new heights. Unfortunately, it was cut just before he was involved in a near-fatal 1973 car accident that left him in a coma. During Wonder’s recovery period, his road manager would sing the melody of “Higher Ground” into his ears. “For a few days [afterward],” Wonder said later, “I was definitely in a much better spiritual place that made me aware of a lot of things that concern my life and my future, and what I have to do to reach another higher ground.”",222600,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",64,113,"{'compound': 0.5994, 'neg': 0.074, 'neu': 0.811, 'pos': 0.115}",Higher Ground',Stevie Wonder,1973,True,False,funk
Britney Spears,"After years of maximalist hits, the pop princess went for something a little more subtle with producers Bloodshy and Avant, who piled on James Bond guitar, Bollywood strings, and robo-funk vocoders — making for a different kind of song that felt sticky-sweet but also global and avant-garde. “Toxic” redefined Spears’ image and sound, but it almost wasn’t hers. “That was written in Sweden,” co-writer Cathy Dennis explained. “I went over there to write with Janet Jackson in mind.” The song didn’t end up making it to Jackson, and was then passed up by Kylie Minogue before getting into Spears’ hands.",198800,"['dance pop', 'pop', 'post-teen pop']",80,114,"{'compound': 0.0, 'neg': 0.0, 'neu': 1.0, 'pos': 0.0}",Toxic',"Cathy Dennis, CKS Garage, Henrik Jonback, Pontus Winnberg",2003,False,True,pop
Etta James,"For James’ first album for their Chess label, brothers Leonard and Phil Chess envisioned her as a crossover pop stylist rather than the gutsy R&B belter of her earlier singles. Among the songs they picked was this modest hit for big-band leader Glenn Miller in the Forties. Yet it was James’ commanding version that turned “At Last” into a pop standard. Its enduring allure has not been lost on the singer herself: “Some people in the front rows, they’ll go, ‘At last,’ or either somebody just got married or is about to get married.”",179693,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",74,115,"{'compound': 0.2411, 'neg': 0.0, 'neu': 0.979, 'pos': 0.021}",At Last',"Harry Warren, Mack Gordon",1960,True,True,jazz
Rob Base and DJ E-Z Rock,"Rob Base and DJ E-Z Rock had modest hopes for “It Takes Two.” Perhaps it would become a hit in the Northeastern tristate area, they thought. But the joyous pop-rap opus became an overnight smash, thanks to its infectious positivity and high-energy sample of Lyn Collins’ James Brown-produced 1972 funk-soul banger “Think (About It).” “One day, we doing little block parties and rockin’ outside for free, to doing big clubs and arenas and stuff like that,” Base told Rolling Stone. “Once the song started to get played … we woke up and we were just different people.”",299866,"['electro', 'harlem hip hop', 'hip house', 'rap']",28,116,"{'compound': 0.9778, 'neg': 0.047, 'neu': 0.705, 'pos': 0.247}",It Takes Two',Robert Ginyard,1988,True,False,hip hop
Aretha Franklin,"Franklin’s takeover of this perfectly crafted Burt Bacharach-Hal David gem is one of pop’s great happy accidents. Dionne Warwick was the first to cut the song, which evoked a woman yearning for a partner who’s been shipped off to Vietnam. The story should have ended there, but Franklin wanted to record it herself (over the protestations of producer Jerry Wexler, who felt Franklin’s version would come out too soon after Warwick’s). Even then, it was initially a B side. But the puckish joy in Franklin’s delivery, combined with the song’s supple arrangement, couldn’t be denied — even Bacharach called Franklin’s version “definitive.”",216773,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",74,117,"{'compound': 0.8074, 'neg': 0.064, 'neu': 0.806, 'pos': 0.13}",I Say a Little Prayer',"Burt Bacharach, Hal David",1968,True,True,soul
Radiohead,"“I wasn’t very happy with the lyrics; I thought they were pretty crap,” Thom Yorke told Rolling Stone in 1993. He’d written the song in college, before Radiohead existed. But “Creep” had the right note of post-Nirvana miserablism, and it vaulted the band into the U.S. charts. Guitarist Jonny Greenwood later admitted that he found the success that came after “Creep” to be “stultifying,” but Radiohead’s experience with cookie-cutter fame played a role in driving the band to create challenging albums like OK Computer and Kid A, some of the most groundbreaking rock of the past 50 years.",238640,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",81,118,"{'compound': 0.9816, 'neg': 0.0, 'neu': 0.742, 'pos': 0.258}",Creep',"Albert Hammond, Colin Greenwood, Ed O'Brien, Jonny Greenwood, Mike Hazlewood, Philip Selway, Thom Yorke",1992,False,False,rock
Marvin Gaye,"Motown producer Norman Whitfield had a reputation for recording the same song with a number of acts, changing the arrangement each time. This irritated some of the label’s artists, but every now and then he would get a golden idea — as happened with Gaye’s 1968 version of “Grapevine,” which had been a hit the year before for Gladys Knight. Whitfield and co-writer Barrett Strong set the track in a slower, more mysterious tempo, and the song — which Gaye initially resisted recording — became the bestselling Motown single of the decade.",194293,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",71,119,"{'compound': 0.5574, 'neg': 0.023, 'neu': 0.914, 'pos': 0.063}",I Heard It Through the Grapevine',"Barrett Strong, Norman Whitfield",1968,True,False,soul
X-Ray Spex,"With their braces-wearing, mixed-race singer Poly Styrene and saxophone shredder Laura Logic, who was all of 16 years old when she joined the band, X-Ray Spex looked and sounded like nothing else on the London punk scene. And their legendary debut single remains punk’s greatest statement of anti-consumerist revolution. “I think [Poly] felt that everyone was in a type of bondage — restricted, crushed, and alienated by modern materialistic society,” Logic later recalled. “The goal of our society is sense gratification — that is the only prize on offer. But one can never satisfy the senses; it is an impossible goal.”",171200,"['black punk', 'post-punk', 'pub rock', 'punk', 'riot grrrl']",49,120,"{'compound': 0.0976, 'neg': 0.065, 'neu': 0.857, 'pos': 0.078}",Oh Bondage! Up Yours!',Poly Styrene,1977,False,False,rock
The Beatles,"Inspired by the church-born soul of Aretha Franklin, an anxious Paul McCartney started writing “Let It Be” in 1968 and unveiled a skeletal version to the other Beatles during the disastrous Let It Be rehearsals in January 1969. John Lennon was brutally dismissive, mistaking McCartney’s secular humanism for self-righteous piety. Yet the Beatles put special labor into the song, getting the consummate take on January 31st — the day after their last live performance, on the roof of their Apple offices in London. Released four months later, “Let It Be” effectively became an elegy for the band that had defined the Sixties.",243026,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",76,121,"{'compound': -0.4939, 'neg': 0.105, 'neu': 0.817, 'pos': 0.077}",Let It Be',"John Lennon, Paul McCartney",1970,False,False,rock
The Impressions,"“It was warrior music,” said civil rights activist Gordon Sellers. “It was music you listened to while you were preparing to go into battle.” Curtis Mayfield wrote the gospel-driven R&B ballad, he said, “in a deep mood, a spiritual state of mind,” just before Martin Luther King Jr.’s march on the Impressions’ hometown of Chicago. Shortly after “People Get Ready” was released, churches in Chicago began including their own version of it in songbooks. Mayfield’s version of the song ended with “You don’t need no ticket/You just thank the Lord,” but the churches’ rendition, ironically, made the lyrics less Christian and more universal: “Everybody wants freedom/This I know.”",163360,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']",58,122,"{'compound': 0.0387, 'neg': 0.015, 'neu': 0.969, 'pos': 0.016}",People Get Ready',Curtis Mayfield,1965,True,False,soul
Talking Heads,"The origins of this Talking Heads classic came from a rough instrumental the band had been working on for some time. “The original basic track was called ‘Naive Melody,’ because the melody was naive-sounding,” drummer Chris Frantz later explained. David Byrne’s lyrics represented a new level of emotional honesty and directness for the Talking Heads frontman. “It’s a real honest kind of love song,” Byrne said. “I tried to write one that wasn’t corny, that didn’t sound stupid or lame, the way many do. I think I succeeded.”",296146,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",70,123,"{'compound': 0.8126, 'neg': 0.064, 'neu': 0.785, 'pos': 0.151}",This Must Be the Place (Naive Melody)',"Chris Frantz, David Byrne, Jerry Harrison, Tina Weymouth",1983,False,False,rock
Buddy Holly,"Recorded in Clovis, New Mexico, in February 1957, the song took its title from a recurring line in the John Wayne movie The Searchers. “We were cutting ‘That’ll Be the Day’ just as a demo to send to New York, just to see if they liked the sound of the group — not for a master record,” recalled Crickets drummer Jerry Allison. “So we just went in and set up and sort of shucked through the song.” Allison credits Holly’s guitar-picking on “That’ll Be the Day” to the influence of New Orleans bluesman Lonnie Johnson.",,,,124,"{'compound': 0.5859, 'neg': 0.016, 'neu': 0.928, 'pos': 0.056}",That’ll Be the Day',"Buddy Holly, Jerry Allison, Norman Petty",1957,False,False,other
